date,open,close,high,low,volume,code
2015-06-18,12.652,12.254,12.807,12.228,2625411.0,000002
2015-06-19,12.099,11.71,12.28,11.667,2185683.0,000002
2015-06-23,11.753,12.332,12.358,11.675,2776475.0,000002
2015-06-24,12.341,12.427,12.453,12.159,2161884.0,000002
2015-06-25,12.445,12.272,12.756,12.237,2544738.0,000002
2015-06-26,12.064,11.606,12.315,11.062,3070641.0,000002
2015-06-29,11.969,11.831,12.358,11.131,4207973.0,000002
2015-06-30,12.03,12.548,12.635,11.753,4092262.0,000002
2015-07-01,12.315,12.315,12.721,12.228,2892502.0,000002
2015-07-02,12.367,12.28,12.47,11.356,3349160.0,000002
2015-07-03,12.038,11.84,12.315,11.407,3154673.0,000002
2015-07-06,12.903,12.859,13.024,12.012,6165474.0,000002
2015-07-07,12.531,12.566,13.006,12.237,4650930.0,000002
2015-07-08,11.546,11.459,12.177,11.312,7170862.0,000002
2015-07-09,11.459,12.574,12.609,11.07,6070451.0,000002
2015-07-10,12.272,12.937,13.672,12.099,9107701.0,000002
2015-07-13,12.617,13.049,13.386,12.324,4687954.0,000002
2015-07-14,12.686,12.574,12.903,12.453,2779623.0,000002
2015-07-15,12.479,12.712,13.058,12.324,2683554.0,000002
2015-07-16,12.712,12.704,12.859,12.47,1777245.0,000002
2015-07-17,12.764,13.024,13.145,12.635,2552673.0,000002
2015-07-20,12.937,13.266,13.291,12.79,2961502.0,000002
2015-07-21,13.194,12.962,13.194,12.953,1957817.0,000002
2015-07-22,12.962,13.132,13.177,12.596,2342343.0,000002
2015-07-23,12.989,13.543,13.605,12.917,3373487.0,000002
2015-07-24,13.552,13.766,14.293,13.489,4654227.0,000002
2015-07-27,13.766,12.685,14.257,12.462,3127221.0,000002
2015-07-28,12.417,13.06,13.221,12.292,2836192.0,000002
2015-07-29,13.043,13.043,13.177,12.819,1641064.0,000002
2015-07-30,13.025,12.578,13.087,12.578,1243463.0,000002
2015-07-31,12.462,12.667,12.721,12.408,1227839.0,000002
2015-08-03,12.596,13.051,13.06,12.471,1539136.0,000002
2015-08-04,13.051,13.212,13.382,12.98,808632.0,000002
2015-08-05,13.159,12.909,13.177,12.864,761177.0,000002
2015-08-06,12.739,12.81,13.069,12.632,509536.0,000002
2015-08-07,12.926,13.043,13.141,12.846,866518.0,000002
2015-08-10,13.123,13.462,13.561,12.98,1686307.0,000002
2015-08-11,13.355,13.909,14.231,13.257,2567401.0,000002
2015-08-12,13.579,13.337,13.721,13.248,1445252.0,000002
2015-08-13,13.311,13.293,13.453,12.998,1163208.0,000002
2015-08-14,13.275,13.355,13.659,13.23,1494006.0,000002
2015-08-17,13.203,13.185,13.239,13.016,1273262.0,000002
2015-08-18,13.168,12.703,13.302,12.596,1478446.0,000002
2015-08-19,12.587,12.953,12.989,12.533,999341.0,000002
2015-08-20,12.819,12.757,12.909,12.703,842493.0,000002
2015-08-21,12.676,12.426,12.846,12.373,1379281.0,000002
2015-08-24,12.194,11.783,12.221,11.506,3419757.0,000002
2015-08-25,11.435,11.613,11.988,11.202,2750628.0,000002
2015-08-26,11.881,11.837,12.346,11.658,2346846.0,000002
2015-08-27,12.185,11.774,12.221,11.256,1533563.0,000002
2015-08-28,11.89,12.131,12.221,11.649,1374186.0,000002
2015-08-31,11.979,12.328,12.328,11.792,1434213.0,000002
2015-09-01,12.239,12.712,12.739,11.845,1950730.0,000002
2015-09-02,12.301,12.703,12.801,12.033,2294696.0,000002
2015-09-07,12.498,12.149,12.953,12.06,1400581.0,000002
2015-09-08,12.096,12.221,12.221,11.881,651811.0,000002
2015-09-09,12.247,12.292,12.542,12.14,834576.0,000002
2015-09-10,12.176,12.096,12.319,12.069,417768.0,000002
2015-09-11,12.14,12.033,12.212,11.971,313452.0,000002
2015-09-14,12.033,11.783,12.096,11.765,568116.0,000002
2015-09-15,11.783,11.631,11.872,11.524,476738.0,000002
2015-09-16,11.694,11.997,12.194,11.533,707855.0,000002
2015-09-17,11.926,11.703,11.962,11.703,612529.0,000002
2015-09-18,11.72,11.72,11.783,11.649,344571.0,000002
2015-09-21,11.667,11.774,11.792,11.667,471720.0,000002
2015-09-22,11.819,11.845,11.926,11.774,451240.0,000002
2015-09-23,11.747,11.747,11.845,11.703,320597.0,000002
2015-09-24,11.792,11.694,11.801,11.658,443596.0,000002
2015-09-25,11.631,11.524,11.694,11.479,442280.0,000002
2015-09-28,11.506,11.479,11.604,11.417,412656.0,000002
2015-09-29,11.39,11.256,11.426,11.184,597878.0,000002
2015-09-30,11.318,11.372,11.443,11.229,489518.0,000002
2015-10-08,11.837,11.676,11.899,11.64,820862.0,000002
2015-10-09,11.729,11.819,11.863,11.676,634505.0,000002
2015-10-12,11.819,12.042,12.185,11.801,784171.0,000002
2015-10-13,11.979,12.033,12.113,11.926,568893.0,000002
2015-10-14,11.899,11.863,12.033,11.837,544904.0,000002
2015-10-15,11.881,12.078,12.113,11.863,438053.0,000002
2015-10-16,12.087,12.194,12.283,12.078,506452.0,000002
2015-10-19,12.239,12.087,12.239,11.971,574487.0,000002
2015-10-20,11.997,12.105,12.194,11.988,407246.0,000002
2015-10-21,12.105,11.819,12.158,11.792,558005.0,000002
2015-10-22,11.819,11.926,11.971,11.765,452334.0,000002
2015-10-23,11.935,12.274,12.328,11.89,675645.0,000002
2015-10-26,12.399,12.212,12.48,12.131,780360.0,000002
2015-10-27,12.105,12.23,12.256,11.899,344633.0,000002
2015-10-28,12.221,12.203,12.355,12.203,344164.0,000002
2015-10-29,12.203,12.167,12.265,12.096,278917.0,000002
